k,accuracy,error_rate
1,0.9666666666666667,0.033333333333333326
2,0.9333333333333333,0.06666666666666665
3,0.9333333333333333,0.06666666666666665
4,0.9333333333333333,0.06666666666666665
5,0.9333333333333333,0.06666666666666665
6,0.9333333333333333,0.06666666666666665
7,0.9666666666666667,0.033333333333333326
8,0.9333333333333333,0.06666666666666665
9,0.9666666666666667,0.033333333333333326
10,0.9666666666666667,0.033333333333333326
11,0.9666666666666667,0.033333333333333326
12,0.9666666666666667,0.033333333333333326
13,0.9666666666666667,0.033333333333333326
14,0.9666666666666667,0.033333333333333326
15,0.9666666666666667,0.033333333333333326
16,0.9666666666666667,0.033333333333333326
17,0.9666666666666667,0.033333333333333326
18,0.9666666666666667,0.033333333333333326
19,0.9666666666666667,0.033333333333333326
20,0.9666666666666667,0.033333333333333326
